Screen Name,Age in Years,# of Followers,# of Followings,Follower/Following Ratio,URL,Verified,Number of Tweets,# of liked Tweets,# of lists,Bot: 4.0 Threshold
guna13318068,3,25,238,0.11,0,0,780,626,2,0
akashan82893334,0,0,9,0.0,0,0,1,0,0,1
jordannharryy,11,3152,208,15.15,1,0,9845,20448,24,0
indgbwetrust,9,176,90,1.96,0,0,3131,4617,1,0
pressresetearth,7,3671,384,9.56,0,0,13655,3884,30,0
mobilepunch,12,4148509,2508,1654.11,1,1,456545,136,2981,1
ilya_sigachev,10,209,89,2.35,1,0,2281,710,13,0
daman_m99,0,32,39,0.82,0,0,208,206,0,1
kassandra_vega,10,2,0,0.0,0,0,0,0,0,1
mesutpacavra,8,2613,487,5.37,1,0,2664,7260,13,0
luckyynittt,1,261,877,0.3,1,0,4765,80,0,0
____gustav,5,15676,12849,1.22,0,0,122954,230659,3,0
shibtoken,0,7422,1,7422.0,1,0,218,267,17,0
iamzatoshi,2,74805,408,183.35,1,0,11918,48408,196,0
luc1f3r64,3,12,14,0.86,0,0,191,133,0,0
bosonprotocol,2,28141,307,91.66,1,0,470,591,171,0
ketink33,0,13,115,0.11,0,0,178,72,0,0
ammuyix,10,2148,2242,0.96,0,0,85738,1201,8,0
susuqn2019,1,38,258,0.15,0,0,239,114,0,0
rpoliveira,13,9860,6562,1.5,0,1,170463,6824,108,0
jerovynasguard,4,50,513,0.1,0,0,652,404,1,0
samrawity1,1,48,112,0.43,0,0,4219,654,0,1
rosiahross,8,132,268,0.49,0,0,130,58,1,0
jahangir75164,2,17,259,0.07,0,0,444,134,2,0
superinfox,7,23,28,0.82,0,0,71,1,0,1
kongerik_et,0,114,7,16.29,1,0,12,4,1,0
coin_shark,4,83660,1349,62.02,1,0,28638,55500,1383,0
vianybinance,1,4,77,0.05,0,0,269,160,0,1
vikasojha7,9,114,374,0.3,1,0,5702,2568,1,0
adomk_3sdre,3,1254,1845,0.68,0,0,72728,26578,0,0
nftresearcher,0,413,40,10.33,0,0,58,559,0,0
infrachain,5,728,358,2.03,1,0,936,335,14,0
qiccommunity,4,7272,833,8.73,1,0,914,2720,45,0
oye440,8,30115,14361,2.1,1,0,192932,171186,9,0
karlsmithcio,1,126,173,0.73,1,0,1088,495,2,0
safemarscoin,10,723,0,0.0,1,0,3,2,1,0
artyscribble,1,573,21,27.29,0,0,9463,0,9,1
orion_protocol,3,47097,549,85.79,1,0,5895,17328,295,0
adhiarja44,0,31,134,0.23,0,0,814,152,0,0
deminhlinh8,1,14,174,0.08,0,0,194,118,1,0
joses_wilber,6,148,706,0.21,0,0,835,972,0,0
andreas54394631,0,27,25,1.08,0,0,766,1081,0,0
sec_news,13,320503,26,12327.04,1,1,12846,8,5277,0
fucchi8,10,330,171,1.93,0,0,34749,228,4,1
stefano12826888,1,91,188,0.48,0,0,150,111,1,0
harvzjavier,9,341,227,1.5,1,0,1857,2249,0,0
golem,14,83990,1,83990.0,1,1,99538,6,2044,1
mr_kems4,6,19962,9888,2.02,0,0,155708,100963,14,0
yakupakkaya07,8,15,101,0.15,0,0,541,876,0,0
leidian82772334,2,80,377,0.21,0,0,671,519,0,0
nft_turkey,0,1470,216,6.81,1,0,190,161,14,0
steisywiktori,1,0,34,0.0,0,0,30,21,0,1
osemu14,2,45,436,0.1,0,0,517,673,0,0
alexabliss0099,3,7450,7789,0.96,0,0,5656,3423,2,0
sanejay3,1,81,389,0.21,0,0,550,1172,0,0
__onua,1,10100,808,12.5,0,0,122331,148102,29,0
mintable_app,3,21217,807,26.29,1,0,2047,3508,200,0
muhammadejazali,10,397,2235,0.18,0,0,5165,5651,4,0
dayan35429027,1,25,204,0.12,0,0,319,210,0,0
laljidodiya6,0,6,55,0.11,0,0,17,2,0,1
hodlon_rtbit,4,137,468,0.29,0,0,477,1271,4,0
2020smiles,9,3678,2824,1.3,0,0,150610,94073,9,0
bbcnews,14,12141159,100,121411.59,1,1,446838,45,45047,0
soreomatsuu,4,6,96,0.06,0,0,211,335,0,0
dogecoinxx,0,11611,3,3870.33,0,0,1253,3,16,0
jookisan,9,84,125,0.67,0,0,70,1887,4,0
siomainsalmon,1,182,2244,0.08,1,0,12649,13143,0,0
bc_heroes,1,5889,285,20.66,0,0,562,456,41,0
jquercus4,1,23,137,0.17,0,0,133,350,0,0
thegradlon,0,7,85,0.08,0,0,99,77,0,0
eurofinsuk,6,601,267,2.25,1,0,436,46,5,0
chijioke_ozoike,5,128,299,0.43,0,0,5190,6931,1,0
bitcoinassetx,0,13158,61,215.7,1,0,60,78,3,0
reg_mati,1,2291,372,6.16,0,0,16162,15312,3,0
jadebakerxx,4,68033,553,123.03,1,0,1851,10563,238,0
tigers,12,1427187,899,1587.53,1,1,68091,37924,6074,0
un_spokesperson,11,723164,1107,653.26,1,1,20958,394,4233,0
